time beta 
-106000 0.31267242
-105950 0.36392666
-105900 0.41540797
-105850 0.46521473
-105800 0.51154658
-105750 0.55281044
-105700 0.58771127
-105650 0.61532164
-105600 0.63512573
-105550 0.64703535
-105500 0.65137756
-105450 0.64885544
-105400 0.64048564
-105350 0.62751778
-105300 0.61134194
-105250 0.59339133
-105200 0.57504722
-105150 0.55755298
-105100 0.54194296
-105050 0.52899091
-105000 0.51918087
-104950 0.51270143
-104900 0.50946287
-104850 0.50913450
-104800 0.51119822
-104750 0.51501310
-104700 0.51988519
-104650 0.52513627
-104600 0.53016599
-104550 0.53450203
-104500 0.53783465
-104450 0.54003307
-104400 0.54114282
-104350 0.54136502
-104300 0.54101999
-104250 0.54049899
-104200 0.54020877
-104150 0.54051445
-104100 0.54168610
-104050 0.54385415
-104000 0.54697801
-103950 0.55083101
-103900 0.55500341
-103850 0.55892355
-103800 0.56189588
-103750 0.56315264
-103700 0.56191528
-103650 0.55746046
-103600 0.54918511
-103550 0.53666507
-103500 0.51970224
-103450 0.49835611
-103400 0.47295673
-103350 0.44409771
-103300 0.41260932
-103250 0.37951373
-103200 0.34596526
-103150 0.31318049
-103100 0.28236313
-103050 0.25462969
-103000 0.23094125
-102950 0.21204678
-102900 0.19844197
-102850 0.19034659
-102800 0.18770186
-102750 0.19018767
-102700 0.19725783
-102650 0.20819032
-102600 0.22214823
-102550 0.23824624
-102500 0.25561731
-102450 0.27347415
-102400 0.29116078
-102350 0.30819021
-102300 0.32426567
-102250 0.33928414
-102200 0.35332259
-102150 0.36660856
-102100 0.37947835
-102050 0.39232673
-102000 0.40555301
-101950 0.41950843
-101900 0.43444954
-101850 0.45050185
-101800 0.46763688
-101750 0.48566448
-101700 0.50424115
-101650 0.52289339
-101600 0.54105394
-101550 0.55810753
-101500 0.57344204
-101450 0.58650053
-101400 0.59682923
-101350 0.60411753
-101300 0.60822610
-101250 0.60920087
-101200 0.60727139
-101150 0.60283388
-101100 0.59642037
-101050 0.58865654
-101000 0.58021208
-100950 0.57174774
-100900 0.56386370
-100850 0.55705382
-100800 0.55166947
-100750 0.54789615
-100700 0.54574485
-100650 0.54505860
-100600 0.54553364
-100550 0.54675309
-100500 0.54823009
-100450 0.54945645
-100400 0.54995236
-100350 0.54931282
-100300 0.54724649
-100250 0.54360359
-100200 0.53839044
-100150 0.53176913
-100100 0.52404276
-100050 0.51562734
-100000 0.50701302
-99950 0.49871826
-99900 0.49124099
-99850 0.48501140
-99800 0.48035042
-99750 0.47743804
-99700 0.47629418
-99650 0.47677406
-99600 0.47857860
-99550 0.48127918
-99500 0.48435443
-99450 0.48723619
-99400 0.48936038
-99350 0.49021848
-99300 0.48940500
-99250 0.48665663
-99200 0.48187966
-99150 0.47516297
-99100 0.46677540
-99050 0.45714747
-99000 0.44683888
-98950 0.43649443
-98900 0.42679201
-98850 0.41838707
-98800 0.41185820
-98750 0.40765849
-98700 0.40607683
-98650 0.40721242
-98600 0.41096471
-98550 0.41703967
-98500 0.42497192
-98450 0.43416083
-98400 0.44391760
-98350 0.45351942
-98300 0.46226612
-98250 0.46953464
-98200 0.47482674
-98150 0.47780615
-98100 0.47832199
-98050 0.47641680
-98000 0.47231852
-97950 0.46641741
-97900 0.45922994
-97850 0.45135291
-97800 0.44341177
-97750 0.43600757
-97700 0.42966721
-97650 0.42480092
-97600 0.42167071
-97550 0.42037218
-97500 0.42083115
-97450 0.42281498
-97400 0.42595760
-97350 0.42979567
-97300 0.43381261
-97250 0.43748666
-97200 0.44033848
-97150 0.44197437
-97100 0.44212121
-97050 0.44065027
-97000 0.43758787
-96950 0.43311214
-96900 0.42753638
-96850 0.42128045
-96800 0.41483310
-96750 0.40870834
-96700 0.40339999
-96650 0.39933819
-96600 0.39685183
-96550 0.39613993
-96500 0.39725460
-96450 0.40009669
-96400 0.40442460
-96350 0.40987523
-96300 0.41599520
-96250 0.42227946
-96200 0.42821397
-96150 0.43331868
-96100 0.43718712
-96050 0.43951931
-96000 0.44014521
-95950 0.43903685
-95900 0.43630837
-95850 0.43220401
-95800 0.42707540
-95750 0.42135031
-95700 0.41549553
-95650 0.40997729
-95600 0.40522262
-95550 0.40158490
-95500 0.39931647
-95450 0.39855037
-95400 0.39929281
-95350 0.40142638
-95300 0.40472380
-95250 0.40887046
-95200 0.41349375
-95150 0.41819638
-95100 0.42259069
-95050 0.42633098
-95000 0.42914102
-94950 0.43083456
-94900 0.43132729
-94850 0.43063926
-94800 0.42888815
-94750 0.42627402
-94700 0.42305725
-94650 0.41953190
-94600 0.41599698
-94550 0.41272827
-94500 0.40995327
-94450 0.40783143
-94400 0.40644134
-94350 0.40577584
-94300 0.40574536
-94250 0.40618892
-94200 0.40689161
-94150 0.40760687
-94100 0.40808135
-94050 0.40808008
-94000 0.40740962
-93950 0.40593703
-93900 0.40360313
-93850 0.40042883
-93800 0.39651400
-93750 0.39202921
-93700 0.38720100
-93650 0.38229223
-93600 0.37757907
-93550 0.37332698
-93500 0.36976755
-93450 0.36707829
-93400 0.36536711
-93350 0.36466276
-93300 0.36491190
-93250 0.36598312
-93200 0.36767729
-93150 0.36974345
-93100 0.37189883
-93050 0.37385126
-93000 0.37532208
-92950 0.37606789
-92900 0.37589919
-92850 0.37469482
-92800 0.37241085
-92750 0.36908371
-92700 0.36482730
-92650 0.35982454
-92600 0.35431418
-92550 0.34857412
-92500 0.34290242
-92450 0.33759761
-92400 0.33293971
-92350 0.32917320
-92300 0.32649313
-92250 0.32503497
-92200 0.32486885
-92150 0.32599818
-92100 0.32836239
-92050 0.33184351
-92000 0.33627564
-91950 0.34145668
-91900 0.34716138
-91850 0.35315471
-91800 0.35920495
-91750 0.36509564
-91700 0.37063586
-91650 0.37566856
-91600 0.38007657
-91550 0.38378621
-91500 0.38676863
-91450 0.38903878
-91400 0.39065238
-91350 0.39170097
-91300 0.39230533
-91250 0.39260751
-91200 0.39276188
-91150 0.39292537
-91100 0.39324745
-91050 0.39386017
-91000 0.39486891
-90950 0.39634417
-90900 0.39831523
-90850 0.40076601
-90800 0.40363379
-90750 0.40681119
-90700 0.41015152
-90650 0.41347775
-90600 0.41659469
-90550 0.41930400
-90500 0.42142121
-90450 0.42279364
-90400 0.42331811
-90350 0.42295686
-90300 0.42175038
-90250 0.41982572
-90200 0.41739910
-90150 0.41477205
-90100 0.41232060
-90050 0.41047754
-90000 0.40970858
-89950 0.41048333
-89900 0.41324295
-89850 0.41836655
-89800 0.42613861
-89750 0.43672000
-89700 0.45012501
-89650 0.46620645
-89600 0.48465063
-89550 0.50498310
-89500 0.52658570
-89450 0.54872419
-89400 0.57058528
-89350 0.59132099
-89300 0.61009750
-89250 0.62614542
-89200 0.63880795
-89150 0.64758358
-89100 0.65216010
-89050 0.65243728
-89000 0.64853640
-88950 0.64079539
-88900 0.62974986
-88850 0.61610075
-88800 0.60067081
-88750 0.58435255
-88700 0.56805135
-88650 0.55262741
-88600 0.53884067
-88550 0.52730254
-88500 0.51843766
-88450 0.51245846
-88400 0.50935417
-88350 0.50889496
-88300 0.51065078
-88250 0.51402345
-88200 0.51828956
-88150 0.52265097
-88100 0.52628932
-88050 0.52842058
-88000 0.52834591
-87950 0.52549529
-87900 0.51946113
-87850 0.51001988
-87800 0.49714044
-87750 0.48097955
-87700 0.46186478
-87650 0.44026714
-87600 0.41676568
-87550 0.39200711
-87500 0.36666364
-87450 0.34139216
-87400 0.31679775
-87350 0.29340379
-87300 0.27163047
-87250 0.25178262
-87200 0.23404701
-87150 0.21849837
-87100 0.20511299
-87050 0.19378787
-87000 0.18436333
-86950 0.17664682
