time	alpha
 -289300	 0.2424171136
 -289250	 0.2431772076
 -289200	 0.2439302185
 -289150	 0.2446759565
 -289100	 0.2454142315
 -289050	 0.2461448528
 -289000	 0.2468676299
 -288950	 0.2475823718
 -288900	 0.2482888875
 -288850	 0.2489869858
 -288800	 0.2496764755
 -288750	 0.2503571653
 -288700	 0.2510288640
 -288650	 0.2516913804
 -288600	 0.2523445235
 -288550	 0.2529881022
 -288500	 0.2536219259
 -288450	 0.2542458041
 -288400	 0.2548595464
 -288350	 0.2554629630
 -288300	 0.2560558643
 -288250	 0.2566380611
 -288200	 0.2572093648
 -288150	 0.2577695872
 -288100	 0.2583185406
 -288050	 0.2588560380
 -288000	 0.2593818930
 -287950	 0.2598959200
 -287900	 0.2603979338
 -287850	 0.2608877504
 -287800	 0.2613651864
 -287750	 0.2618300593
 -287700	 0.2622821874
 -287650	 0.2627213901
 -287600	 0.2631474879
 -287550	 0.2635603022
 -287500	 0.2639596555
 -287450	 0.2643453714
 -287400	 0.2647172749
 -287350	 0.2650751921
 -287300	 0.2654189503
 -287250	 0.2657483782
 -287200	 0.2660633060
 -287150	 0.2663635651
 -287100	 0.2666489885
 -287050	 0.2669194108
 -287000	 0.2671746680
 -286950	 0.2674145977
 -286900	 0.2676390393
 -286850	 0.2678478337
 -286800	 0.2680408238
 -286750	 0.2682178542
 -286700	 0.2683787711
 -286650	 0.2685234228
 -286600	 0.2686516596
 -286550	 0.2687633335
 -286500	 0.2688582988
 -286450	 0.2689364115
 -286400	 0.2689975301
 -286350	 0.2690415148
 -286300	 0.2690682284
 -286250	 0.2690775356
 -286200	 0.2690693034
 -286150	 0.2690434013
 -286100	 0.2689997010
 -286050	 0.2689380765
 -286000	 0.2688584044
 -285950	 0.2687605637
 -285900	 0.2686444357
 -285850	 0.2685099046
 -285800	 0.2683568570
 -285750	 0.2681851820
 -285700	 0.2679947716
 -285650	 0.2677855204
 -285600	 0.2675573256
 -285550	 0.2673100875
 -285500	 0.2670437088
 -285450	 0.2667580953
 -285400	 0.2664531556
 -285350	 0.2661288014
 -285300	 0.2657849469
 -285250	 0.2654215097
 -285200	 0.2650384103
 -285150	 0.2646355722
 -285100	 0.2642129219
 -285050	 0.2637703892
 -285000	 0.2633079068
 -284950	 0.2628254108
 -284900	 0.2623228404
 -284850	 0.2618001378
 -284800	 0.2612572489
 -284750	 0.2606941225
 -284700	 0.2601107109
 -284650	 0.2595069697
 -284600	 0.2588828578
 -284550	 0.2582383376
 -284500	 0.2575733748
 -284450	 0.2568879385
 -284400	 0.2561820014
 -284350	 0.2554555395
 -284300	 0.2547085326
 -284250	 0.2539409636
 -284200	 0.2531528192
 -284150	 0.2523440897
 -284100	 0.2515147688
 -284050	 0.2506648539
 -284000	 0.2497943460
 -283950	 0.2489032496
 -283900	 0.2479915730
 -283850	 0.2470593281
 -283800	 0.2461065305
 -283750	 0.2451331993
 -283700	 0.2441393575
 -283650	 0.2431250317
 -283600	 0.2420902523
 -283550	 0.2410350533
 -283500	 0.2399594726
 -283450	 0.2388635515
 -283400	 0.2377473356
 -283350	 0.2366108737
 -283300	 0.2354542187
 -283250	 0.2342774271
 -283200	 0.2330805594
 -283150	 0.2318636796
 -283100	 0.2306268556
 -283050	 0.2293701591
 -283000	 0.2280936656
 -282950	 0.2267974543
 -282900	 0.2254816082
 -282850	 0.2241462141
 -282800	 0.2227913626
 -282750	 0.2214171479
 -282700	 0.2200236682
 -282650	 0.2186110253
 -282600	 0.2171793248
 -282550	 0.2157286760
 -282500	 0.2142591920
 -282450	 0.2127709895
 -282400	 0.2112641891
 -282350	 0.2097389150
 -282300	 0.2081952950
 -282250	 0.2066334608
 -282200	 0.2050535476
 -282150	 0.2034556943
 -282100	 0.2018400435
 -282050	 0.2002067413
 -282000	 0.1985559376
 -281950	 0.1968877857
 -281900	 0.1952024425
 -281850	 0.1935000687
 -281800	 0.1917808281
 -281750	 0.1900448884
 -281700	 0.1882924207
 -281650	 0.1865235994
 -281600	 0.1847386026
 -281550	 0.1829376116
 -281500	 0.1811208112
 -281450	 0.1792883896
 -281400	 0.1774405383
 -281350	 0.1755774521
 -281300	 0.1736993290
 -281250	 0.1718063704
 -281200	 0.1698987809
 -281150	 0.1679767683
 -281100	 0.1660405435
 -281050	 0.1640903206
 -281000	 0.1621263167
 -280950	 0.1601487521
 -280900	 0.1581578500
 -280850	 0.1561538367
 -280800	 0.1541369415
 -280750	 0.1521073963
 -280700	 0.1500654364
 -280650	 0.1480112996
 -280600	 0.1459452266
 -280550	 0.1438674609
 -280500	 0.1417782487
 -280450	 0.1396778388
 -280400	 0.1375664829
 -280350	 0.1354444350
 -280300	 0.1333119520
 -280250	 0.1311692930
 -280200	 0.1290167197
 -280150	 0.1268544963
 -280100	 0.1246828892
 -280050	 0.1225021674
 -280000	 0.1203126019
 -279950	 0.1181144661
 -279900	 0.1159080355
 -279850	 0.1136935878
 -279800	 0.1114714028
 -279750	 0.1092417624
 -279700	 0.1070049503
 -279650	 0.1047612523
 -279600	 0.1025109560
 -279550	 0.1002543509
 -279500	 0.0979917283
 -279450	 0.0957233811
 -279400	 0.0934496042
 -279350	 0.0911706938
 -279300	 0.0888869478
 -279250	 0.0865986657
 -279200	 0.0843061483
 -279150	 0.0820096980
 -279100	 0.0797096185
 -279050	 0.0774062146
 -279000	 0.0750997927
 -278950	 0.0727906601
 -278900	 0.0704791254
 -278850	 0.0681654981
 -278800	 0.0658500889
 -278750	 0.0635332094
 -278700	 0.0612151720
 -278650	 0.0588962900
 -278600	 0.0565768775
 -278550	 0.0542572492
 -278500	 0.0519377208
 -278450	 0.0496186081
 -278400	 0.0473002279
 -278350	 0.0449828972
 -278300	 0.0426669336
 -278250	 0.0403526548
 -278200	 0.0380403792
